x,y,v
1,1,4%<= Overhead <6%
2,1,4%<= Overhead <6%
3,1,4%<= Overhead <6%
4,1,2%<= Overhead <4%
5,1,2%<= Overhead <4%
6,1,2%<= Overhead <4%
7,1,2%<= Overhead <4%
8,1,2%<= Overhead <4%
9,1,2%<= Overhead <4%
10,1,1%<= Overhead <2%
11,1,1%<= Overhead <2%
12,1,1%<= Overhead <2%
13,1,1%<= Overhead <2%
14,1,1%<= Overhead <2%
15,1,1%<= Overhead <2%
16,1,1%<= Overhead <2%
17,1,1%<= Overhead <2%
18,1,1%<= Overhead <2%
19,1,1%<= Overhead <2%
20,1,1%<= Overhead <2%
1,2,4%<= Overhead <6%
2,2,2%<= Overhead <4%
3,2,2%<= Overhead <4%
4,2,2%<= Overhead <4%
5,2,2%<= Overhead <4%
6,2,2%<= Overhead <4%
7,2,2%<= Overhead <4%
8,2,1%<= Overhead <2%
9,2,1%<= Overhead <2%
10,2,1%<= Overhead <2%
11,2,1%<= Overhead <2%
12,2,1%<= Overhead <2%
13,2,1%<= Overhead <2%
14,2,1%<= Overhead <2%
15,2,1%<= Overhead <2%
16,2,1%<= Overhead <2%
17,2,1%<= Overhead <2%
18,2,1%<= Overhead <2%
19,2,Overhead <1%
20,2,Overhead <1%
1,3,2%<= Overhead <4%
2,3,2%<= Overhead <4%
3,3,2%<= Overhead <4%
4,3,2%<= Overhead <4%
5,3,2%<= Overhead <4%
6,3,2%<= Overhead <4%
7,3,1%<= Overhead <2%
8,3,1%<= Overhead <2%
9,3,1%<= Overhead <2%
10,3,1%<= Overhead <2%
11,3,1%<= Overhead <2%
12,3,1%<= Overhead <2%
13,3,1%<= Overhead <2%
14,3,1%<= Overhead <2%
15,3,1%<= Overhead <2%
16,3,1%<= Overhead <2%
17,3,1%<= Overhead <2%
18,3,Overhead <1%
19,3,Overhead <1%
20,3,Overhead <1%
1,4,2%<= Overhead <4%
2,4,2%<= Overhead <4%
3,4,2%<= Overhead <4%
4,4,1%<= Overhead <2%
5,4,1%<= Overhead <2%
6,4,1%<= Overhead <2%
7,4,1%<= Overhead <2%
8,4,1%<= Overhead <2%
9,4,1%<= Overhead <2%
10,4,1%<= Overhead <2%
11,4,1%<= Overhead <2%
12,4,1%<= Overhead <2%
13,4,1%<= Overhead <2%
14,4,1%<= Overhead <2%
15,4,Overhead <1%
16,4,Overhead <1%
17,4,Overhead <1%
18,4,Overhead <1%
19,4,Overhead <1%
20,4,Overhead <1%
1,5,2%<= Overhead <4%
2,5,1%<= Overhead <2%
3,5,1%<= Overhead <2%
4,5,1%<= Overhead <2%
5,5,1%<= Overhead <2%
6,5,1%<= Overhead <2%
7,5,1%<= Overhead <2%
8,5,1%<= Overhead <2%
9,5,1%<= Overhead <2%
10,5,1%<= Overhead <2%
11,5,1%<= Overhead <2%
12,5,1%<= Overhead <2%
13,5,1%<= Overhead <2%
14,5,1%<= Overhead <2%
15,5,Overhead <1%
16,5,Overhead <1%
17,5,Overhead <1%
18,5,Overhead <1%
19,5,Overhead <1%
20,5,Overhead <1%
