PIPE,data1,data2,data3,SM-Q,SM-RW,R-Q,R-RW,NP-Q,NP-RW,TF-Q,TF-RW,SP-Q,SP-RW,RW
P2.1,C:Syn5,D:Syn5,,1.07,0.509,0.380296946,0.005662441,0.32572794,0.006430149,5.414670785,5.027615388,4.292904097,2.164532856,8.47E-02
P2.2,D:Syn5,,,0,0,95.61384249,19.42172933,13.12606096,5.152570963,0,0,140.8056032,4.708589631,2.54E-02
P2.3,D:Syn5,,,0.563,0.533,2.244374037,0.048136711,0.604181051,0.320300102,0.84780407,0.379348625,4.044992003,1.43162949,2.52E-02
P2.4,A:AL1,B:Syn3,,1.58,0.798,0.803236485,0.412466049,0,0,0,0,3.769711205,1.915185327,1.46E-01
P2.4,A:NL1,B:Syn3,,1.447,0.673,0.828869343,0.421369934,0,0,0,0,0,0,1.46E-01
P2.4,A:Syn3,B:Syn3,,1.558,0.618,0.726020336,0.411313057,0.671845913,0.257286072,1.367879152,1.291294575,4.855670469,2.721542781,1.46E-01
P2.5,C:Syn5,D:Syn5,,0,0,97.29821658,20.65751386,18.62575197,3.927129984,0,0,174.528899,6.813959391,8.20E-02
P2.6,C:Syn5,D:Syn5,,0,0,134.7775812,112.314651,14.44924092,12.20432997,87.84884572,85.56624603,183.0299246,140.7922497,2.35E-02
P2.8,C:Syn5,D:Syn5,,0,0,73.7633152,38.81659508,10.19651389,7.877585173,0,0,24.08906808,13.79078345,4.28E-02
P2.9,C:Syn5,D:Syn5,,29.035,1.103,54.43570137,41.87361644,5.365548849,5.132066965,5.862109979,5.862109979,9.331990632,4.665995315,4.60E-02
P2.10,M:AS,N:Syn2,,0.581,0.573,28.67452645,0.820020247,0,0,0,0,0,0,2.83E-02
P2.10,M:NS,N:Syn2,,0.578,0.576,29.01968336,0.780380974,0,0,0,0,0,0,2.83E-02
P2.10,M:Syn1,N:Syn2,,46.252,1.057,28.60863423,0.820380974,8.862200022,0.493597984,0,0,0,0,2.83E-02
P2.11,A:AL1,,,0.956,0.762,0.545168877,0.1952703,0,0,0,0,11.16276531,6.424847708,8.32E-02
P2.11,A:NL1,,,1.005,0.891,0.929270506,0.199306965,0,0,0,0,0,0,8.32E-02
P2.11,A:Syn3,,,1.201,0.561,0.819896936,0.199430227,0.392130136,0.140568018,0.803766012,0.633823315,11.51407592,6.344421848,8.32E-02
P2.12,M:AS,N:Syn2,,1.28,1.008,25.2301152,0.48357455,0,0,0,0,0,0,1.09E-01
P2.12,M:NS,N:Syn2,,1.513,0.913,26.1843126,0.6159905,0,0,0,0,0,0,1.09E-01
P2.13,M:AS,N:Syn2,,10.179,0.525,42.02141404,0.911349249,0,0,0,0,27.19601978,5.373776462,5.52E-01
P2.13,M:NS,N:Syn2,,33.609,0.724,45.16988873,1.154184341,0,0,0,0,0,0,5.52E-01
P2.13,M:Syn1,N:Syn2,,49.88,0.964,43.8385222,1.145805836,6.420644025,0.186875581,7.41096789,0.199337705,212.17501,109.6674872,5.52E-01
P2.14,M:AS,N:Syn2,,22.499,8.81,60.63939571,20.33609509,0,0,0,0,59.46366347,22.03214588,4.86E-02
P2.14,M:NS,N:Syn2,,80.822,40.616,65.56442118,23.13690972,0,0,0,0,0,0,4.86E-02
P2.15,A:AL1,,,0.636,0.57,0.500158215,0.077837687,0,0,0,0,1.529682775,1.096707132,3.89E-02
P2.15,A:NL1,,,0.687,0.615,0.515017653,0.086588156,0,0,0,0,0,0,3.89E-02
P2.15,A:Syn3,,,0.697,0.688,0.600473642,0.098284721,0.415658665,0.393669319,0.633547068,0.623955409,1.446073328,1.0161676,3.89E-02
P2.16,C:Syn5,D:Syn5,,0,0,206.5919883,129.8590605,31.20917583,16.60950589,86.60680699,85.35168695,383.5727551,179.8272523,3.89E-02
P2.18,A:AL1,B:Syn3,,1.459,0.655,1.971524715,0.559734344,0,0,0,0,26.05740228,3.434276673,1.40E-01
P2.18,A:NL1,B:Syn3,,1.635,0.618,1.932042599,0.560142994,0,0,0,0,0,0,1.40E-01
P2.18,A:Syn3,B:Syn3,,1.913,0.693,1.900874472,0.526300287,0.738842964,0.486560011,1.300968885,0.807088614,25.42064403,3.234851316,1.40E-01
