PIPE,data1,data2,data3,SM-Q,SM-RW,R-Q,R-RW,NP-Q,NP-RW,TF-Q,TF-RW,SP-Q,SP-RW,RW
P2.1,C:Syn5,D:Syn5,,1.07,0.509,0.380296946,0.005662441,0.32572794,0.064301491,5.414670785,5.027615388,4.292904097,2.164532856,0.07360683
P2.1,C:Syn6,D:Syn6,,2.487,0.576,2.439313173,0.00316906,2.109503984,0.003341913,2.116486708,2.05373168,20.72788765,10.22997303,0.07360683
P2.2,D:Syn5,,,0,0,95.61384249,19.42172933,13.12606096,5.152570963,0,0,140.8056032,4.708589631,0.0192
P2.3,D:Syn5,,,0.563,0.533,2.244374037,0.048136711,0.604181051,0.320300102,0.84780407,0.379348625,4.044992003,1.43162949,1.05E-02
P2.3,D:Syn6,,,0.675,0.661,2.562410355,0.057339668,3.526922941,1.826803017,3.961718225,2.023910952,16.21187285,6.525611224,1.05E-02
P2.4,A:AL1,B:Syn3,,1.58,0.798,0.803236485,0.412466049,0,0,0,0,3.769711205,1.915185327,4.79E-02
P2.4,A:AL2,B:AL2,,4.092,0.778,10.18283892,5.558090448,0,0,0,0,0.542523908,0.138031034,4.79E-02
P2.4,A:NL1,B:Syn3,,1.447,0.673,0.828869343,0.421369934,0,0,0,0,0,0,4.79E-02
P2.4,A:NL2,B:NL2,,4.132,0.775,9.651443481,4.603515148,0,0,0,0,0,0,4.79E-02
P2.4,A:Syn3,B:Syn3,,1.558,0.618,0.726020336,0.411313057,0.671845913,0.257286072,1.367879152,1.291294575,4.855670469,2.721542781,4.79E-02
P2.4,A:Syn4,B:Syn4,,5.495,2.404,4.039265633,2.543566227,1.036453009,0.25563693,11.52153015,6.703105609,33.27360056,20.3047402,4.79E-02
P2.5,C:Syn5,D:Syn5,,0,0,97.29821658,20.65751386,18.62575197,3.927129984,0,0,174.528899,6.813959391,1.91E-02
P2.6,C:Syn5,D:Syn5,,0,0,134.7775812,112.314651,14.44924092,12.20432997,87.84884572,85.56624603,183.0299246,140.7922497,1.19E-02
P2.8,C:Syn5,D:Syn5,,0,0,73.7633152,38.81659508,10.19651389,7.877585173,0,0,24.08906808,13.79078345,2.89E-02
P2.9,C:Syn5,D:Syn5,,29.035,1.103,54.43570137,41.87361644,5.365548849,5.132066965,5.862109979,5.862109979,9.331990632,4.665995315,1.65E-02
P2.9,C:Syn6,D:Syn6,,226.484,4.355,458.3253756,278.5579812,41.88468194,38.70922399,43.72375933,39.42876307,51.64485097,25.82242549,1.65E-02
P2.10,M:AS,N:Syn2,,0.581,0.573,28.67452645,0.820020247,0,0,0,0,0,0,1.82E-02
P2.10,M:NS,N:Syn2,,0.578,0.576,29.01968336,0.780380974,0,0,0,0,0,0,1.82E-02
P2.10,M:Syn1,N:Syn2,,46.252,1.057,28.60863423,0.820380974,8.862200022,0.493597984,0,0,0,0,1.82E-02
P2.11,A:AL1,,,0.956,0.762,0.545168877,0.1952703,0,0,0,0,11.16276531,6.424847708,1.77E-02
P2.11,A:AL2,,,0.671,0.594,6.174500465,2.057652473,0,0,0,0,122.7951072,88.65356739,1.77E-02
P2.11,A:NL1,,,1.005,0.891,0.929270506,0.199306965,0,0,0,0,0,0,1.77E-02
P2.11,A:NL2,,,0.576,0.568,5.805912495,2.084857941,0,0,0,0,0,0,1.77E-02
P2.11,A:Syn3,,,1.201,0.561,0.819896936,0.199430227,0.392130136,0.140568018,0.803766012,0.633823315,11.51407592,6.344421848,1.77E-02
P2.11,A:Syn4,,,3.323,0.248,2.926821709,1.024739742,0.396901131,0.139988184,7.597915888,5.481736263,15.40841405,11.85262619,1.77E-02
P2.12,M:AS,N:Syn2,,1.28,1.008,25.2301152,0.48357455,0,0,0,0,0,0,8.03E-02
P2.12,M:NS,N:Syn2,,1.513,0.913,26.1843126,0.6159905,0,0,0,0,0,0,8.03E-02
P2.13,M:AS,N:Syn2,,10.179,0.525,42.02141404,0.911349249,0,0,0,0,27.19601978,5.373776462,2.76E-02
P2.13,M:NS,N:Syn2,,33.609,0.724,45.16988873,1.154184341,0,0,0,0,0,0,2.76E-02
P2.13,M:Syn1,N:Syn2,,49.88,0.964,43.8385222,1.145805836,6.420644025,0.186875581,7.41096789,0.199337705,212.17501,109.6674872,2.76E-02
P2.14,M:AS,N:Syn2,,22.499,8.81,60.63939571,20.33609509,0,0,0,0,59.46366347,22.03214588,2.68E-02
P2.14,M:NS,N:Syn2,,80.822,40.616,65.56442118,23.13690972,0,0,0,0,0,0,2.68E-02
P2.15,A:AL1,,,0.636,0.57,0.500158215,0.077837687,0,0,0,0,1.529682775,1.096707132,2.22E-02
P2.15,A:AL2,,,0.655,0.578,1.450727749,0.847892094,0,0,0,0,15.33377053,13.30121391,2.22E-02
P2.15,A:NL1,,,0.687,0.615,0.515017653,0.086588156,0,0,0,0,0,0,2.22E-02
P2.15,A:NL2,,,0.61,0.592,1.543309689,0.98056078,0,0,0,0,0,0,2.22E-02
P2.15,A:Syn3,,,0.697,0.688,0.600473642,0.098284721,0.415658665,0.393669319,0.633547068,0.623955409,1.446073328,1.0161676,2.22E-02
P2.15,A:Syn4,,,0.63,0.626,1.913396502,0.89982605,0.715658665,0.693669319,3.88519311,3.32170105,6.702868869,5.023683651,2.22E-02
P2.16,C:Syn5,D:Syn5,,0,0,206.5919883,129.8590605,31.20917583,16.60950589,86.60680699,85.35168695,383.5727551,179.8272523,1.34E-02
P2.18,A:AL1,B:Syn3,,1.459,0.655,1.971524715,0.559734344,0,0,0,0,26.05740228,3.434276673,2.71E-02
P2.18,A:AL2,B:AL2,,0.681,0.502,15.90326381,5.56733346,0,0,0,0,47.32539985,39.08172484,2.71E-02
P2.18,A:NL1,B:Syn3,,1.635,0.618,1.932042599,0.560142994,0,0,0,0,0,0,2.71E-02
P2.18,A:NL2,B:NL2,,0.73,0.516,15.97304082,5.50532341,0,0,0,0,0,0,2.71E-02
P2.18,A:Syn3,B:Syn3,,1.913,0.693,1.900874472,0.526300287,0.738842964,0.486560011,1.300968885,0.807088614,25.42064403,3.234851316,2.71E-02
P2.18,A:Syn4,B:Syn4,,4.935,0.917,8.027139425,2.785095692,9.005086899,5.590022802,10.79381402,7.3487583,105.5964206,12.86875581,2.71E-02
