PIPE,data1,data2,data3,R-Q,R-RW,NP-Q,NP-RW,TF-Q,TF-RW,SP-Q,SP-RW,RW
P1.2,A:Syn3,B:Syn3,,1.084206104,0.411003113,2.634226084,0.363848829,1.958594004,0.346578836,20.41275335,0.4302,2.82E-02
P1.2,A:Syn4,B:Syn4,,7.83242226,2.860349655,9.11141706,0.595066786,10.5194947,3.428982019,136.130598,0.807508,2.82E-02
P1.3,C:Syn5,D:Syn5,,206.8036041,54.4453032,22.38965607,5.444554806,86.2709949,3.93658185,373.111895,4.206057684,0.037411022
P1.4,A:Syn3,B:Syn3,,0.657592297,0.1916008,0.741034985,0.127960205,0,0,3.896214323,0.177714551,0.039314771
P1.4,A:Syn4,B:Syn4,,3.63625288,0.967895985,2.754462004,0.315992832,0,0,16.58061724,0.2183798,0.039314771
P1.11,A:Syn3,B:Syn3,,1.2996912,0.100824833,0.73129797,0.070368052,1.68988204,0.041885138,25.42064403,1.555530989,0.098507537
P1.11,A:Syn4,B:Syn4,,8.027139425,0.515799999,9.005086899,0.891305923,10.79381402,0.187295198,105.5964206,12.86875581,0.098507537
P1.17,C:Syn5,D:Syn5,,127.5977833,19.33897638,31.88629699,19.04588294,0,0,21.08906808,5.298565725,0.044805349
P1.19,C:Syn5,D:Syn5,,77.22177482,0.486737728,24.13162708,0.050203705,80.45040488,0.204554081,170.9262261,0.261310668,0.068360451
P1.20,C:Syn5,,,75.95809126,0.004128456,27.05487704,0.02956152,80.29232001,0.023560057,181.2609651,1.214453524,0.02133264
P1.21,C:Syn5,D:Syn5,,76.53178215,0.849166632,27.06016588,0.613461018,81.80423713,1.222240925,0,0,0.065597365
P1.22,C:Syn5,D:Syn5,,76.34507751,0.043845177,26.55626702,0.030760765,82.690804,0.043623953,184.2066857,1.655955326,0.027485912
P1.23,C:Syn5,D:Syn5,,152.0073864,75.68009925,0,0,0,0,190.4067699,11.48244646,0.03025175
P1.24,C:Syn5,D:Syn5,,130.9154322,54.09741998,31.71303391,5.518005133,86.14869404,4.929263115,192.0853579,11.1351787,0.026667541
P1.29,C:Syn5,D:Syn5,,224.3182998,165.7051091,17.40376997,11.09079385,17.80894089,11.13058805,13.05187639,8.885988096,0.093810955
P2.2,C:Syn5,D:Syn5,,95.6344409,19.40477228,43.8909471,20.6216259,0,0,195.5260965,4.641969436,0.065927238
P2.4,A:Syn3,B:Syn3,,0.716753244,0.258505344,1.581562042,0.508260965,1.426098108,0.161536074,4.855670469,1.90381551,0.027324841
P2.4,A:Syn4,B:Syn4,,4.495919466,1.88322401,8.226382017,2.70055604,7.808192968,0.61191988,11.08537188,5.906052629,0.027324841
P2.5,C:Syn5,D:Syn5,,95.94947243,19.40298986,45.66380095,19.43015409,0,0,174.528899,6.02981029,0.021144027
P2.9,C:Syn5,D:Syn5,,55.46608424,0.056481361,6.789496899,0.085098743,6.220549107,0.644099236,8.448534361,2.967797821,0.028754629
P2.11,A:Syn3,B:Syn3,,0.481984377,0.098023653,0.728101015,0.16486907,1.303138971,0.016117096,11.51407592,1.013538995,0.023411491
P2.11,A:Syn4,B:Syn4,,2.98351264,0.492426634,3.694717169,0.305500984,8.763321877,0.016117096,15.40841405,6.528064809,0.023411491
P2.16,C:Syn5,D:Syn5,,208.8288617,54.91336322,58.04372787,6.119618893,86.98885584,4.763321877,383.5727551,9.214933993,0.026369886
P2.18,A:Syn3,B:Syn3,,1.078805208,0.220958948,0.741565943,0.067471981,1.674323082,0.051774979,20.8712057,1.471522158,0.079810955
